id,name,yearsagobin,yearsago,yearextinct,yearextinctera,class,order,family,location,wikipedia,iucn-redlist,img,imgclass
Canis lupus mogollonensis,Mogollon mountain wolf,0,84,1935,1935 CE,Mammalia,Carnivora,Canidae,Southwest United States,https://en.wikipedia.org/wiki/Mogollon_mountain_wolf,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/The_Wolves_of_North_America_%281944%29_C._l._mogollonensis_%E2%99%82.jpg/267px-The_Wolves_of_North_America_%281944%29_C._l._mogollonensis_%E2%99%82.jpg,tall
Canis lupus youngi,Southern Rocky Mountain wolf,0,84,1935,1935 CE,Mammalia,Carnivora,Canidae,United States - Rocky Mountains,https://en.wikipedia.org/wiki/Southern_Rocky_Mountain_wolf,,,
Nesoryzomys indefessus,indefatigable Galapagos mouse,0,85,1934,1934 CE,Mammalia,Rodentia,Cricetidae,Ecuador,https://en.wikipedia.org/wiki/Nesoryzomys_indefessus,https://www.iucnredlist.org/species/14708/22390443,https://alchetron.com/cdn/nesoryzomys-indefessus-9b2906cc-d84d-45e7-9eae-b13be93b449-resize-750.jpeg,wide
Leporillus apicalis,white-tipped stick-nest rat,0,86,1933,1933 CE,Mammalia,Rodentia,Muridae,"Australia, west-central",https://en.wikipedia.org/wiki/Lesser_stick-nest_rat,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Leporillus_apicalis_-_Gould.jpg/180px-Leporillus_apicalis_-_Gould.jpg,wide
Rucervus schomburgki,Schomburgk's deer,0,87,1932,1932 CE,Mammalia,Artiodactyla,Cervidae,Thailand,https://en.wikipedia.org/wiki/Schomburgk%27s_deer,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/SchomburgksDeer-Berlin1911.jpg/180px-SchomburgksDeer-Berlin1911.jpg,wide
Tympanuchus cupido cupido,Heath hen,0,87,1932,1932 CE,Aves,Galliformes,Phasianidae,North America,https://en.wikipedia.org/wiki/Heath_hen,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Tympanuchus_cupido_cupidoAEP11LA.png/234px-Tympanuchus_cupido_cupidoAEP11LA.png,tall
Macrotis leucura,Lesser bilby,0,88,1931,1931 CE,Mammalia,Peramelemorphia,Thylacomyidae,Australia,https://en.wikipedia.org/wiki/Lesser_bilby,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Lesserbilby.jpg/360px-Lesserbilby.jpg,wide
Neotoma bunkeri,Bunker's woodrat,0,88,1931,1931 CE,Mammalia,Rodentia,Cricetidae,Coronado Islands,https://en.wikipedia.org/wiki/Bunker%27s_woodrat,,,
Peromyscus pembertoni,Pemberton's deer mouse,0,88,1931,1931 CE,Mammalia,Rodentia,Cricetidae,San Pedro Nolasco Island,https://en.wikipedia.org/wiki/Pemberton%27s_deer_mouse,,,
Nesoryzomys darwini,Darwin's Galapagos mouse,0,89,1930,1930 CE,Mammalia,Rodentia,Cricetidae,Ecuador,https://en.wikipedia.org/wiki/Nesoryzomys_darwini,,https://animalcorner.co.uk/wp-content/uploads/2015/02/galapagos-rice-rat-340x200.jpg,wide
Pseudomys gouldii,Gould's mouse,0,89,1930,1930 CE,Mammalia,Rodentia,Muridae,"Australia, southern half",https://en.wikipedia.org/wiki/Gould%27s_mouse,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Pseudomys_gouldii_-_Gould.jpg/360px-Pseudomys_gouldii_-_Gould.jpg,wide
Pholidoscelis cineraceus,Guadeloupe ameiva,0,91,1928,1928 CE,Reptilia,Squamata,Teiidae,Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe_ameiva,,,
Neotoma anthonyi,Anthony's woodrat,0,93,1926,1926 CE,Mammalia,Rodentia,Cricetidae,Isla Todos Santos,https://en.wikipedia.org/wiki/Anthony%27s_woodrat,,,
Canis lupus alces,Kenai Peninsula wolf,0,94,1925,1925 CE,Mammalia,Carnivora,Canidae,Alaska,https://en.wikipedia.org/wiki/Kenai_Peninsula_wolf,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/The_Wolves_of_North_America_%281944%29_C._l._alces_%E2%99%82.jpg/275px-The_Wolves_of_North_America_%281944%29_C._l._alces_%E2%99%82.jpg,tall
Ursus arctos californicus,California Grizzly Bear,0,95,1924,1924 CE,Mammalia,Carnivora,Ursidae,California,https://en.wikipedia.org/wiki/California_grizzly_bear,,https://upload.wikimedia.org/wikipedia/commons/d/de/Monarch_the_bear.jpg,wide
Tropidophis bucculentus,Navassa Island dwarf boa,0,99,1920,1920 CE,Reptilia,Squamata,Tropidophiidae,Navassa Island,https://en.wikipedia.org/wiki/Tropidophis_bucculentus,,,
Conuropsis carolinensis,Carolina parakeet,100,101,1918,1918 CE,Aves,Psittaciformes,Psittacidae,United States,https://en.wikipedia.org/wiki/Carolina_parakeet,https://www.iucnredlist.org/species/22685776/93087087,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Conuropsis_carolinensis_%28Carolina_parakeet%29.jpg/260px-Conuropsis_carolinensis_%28Carolina_parakeet%29.jpg,wide
Ectopistes migratorius,Passenger pigeon,100,105,1914,1914 CE,Aves,Columbiformes,Columbidae,United States,https://en.wikipedia.org/wiki/Passenger_pigeon,https://www.iucnredlist.org/species/22690733/93285636,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Bird_lore_%281913%29_%2814562557107%29.jpg/360px-Bird_lore_%281913%29_%2814562557107%29.jpg,tall
Canis lupus beothucus,Newfoundland wolf,100,108,1911,1911 CE,Mammalia,Carnivora,Canidae,Newfoundland,https://en.wikipedia.org/wiki/Newfoundland_wolf,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Stuffed_Newfoundland_wolf.jpg/292px-Stuffed_Newfoundland_wolf.jpg,wide
Tetradactylus eastwoodae,Eastwood's Longtailed Seps,100,108,1911,1911 CE,Reptilia,Squamata,Gerrhosauridae,South Africa,https://en.wikipedia.org/wiki/Eastwood%27s_long-tailed_seps,,,
Quiscalus palustris,Slender-billed grackle ,100,109,1910,1910 CE,Aves,Passeriformes,Icteridae,"Mexico, Central",https://en.wikipedia.org/wiki/Slender-billed_grackle,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/QuiscalusTenuirostris.jpg/220px-QuiscalusTenuirostris.jpg,wide
Equus ferus ferus,Tarpan,100,110,1909,1909 CE,Mammalia,Perissodactyla,Equidae,Eurasia,https://en.wikipedia.org/wiki/Tarpan,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kherson_tarpan.jpg/320px-Kherson_tarpan.jpg,wide
Heteralocha acutirostris,Huia,100,112,1907,1907 CE,Aves,Passeriformes,Callaeidae,New Zealand,https://en.wikipedia.org/wiki/Huia,https://www.iucnredlist.org/species/22708091/119257859,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Huia_Buller.jpg/192px-Huia_Buller.jpg,tall
Cervus canadensis merriami,Merriam's elk,100,113,1906,1906 CE,Mammalia,Artiodactyla,Cervidae,United States - Southwest,https://en.wikipedia.org/wiki/Merriam%27s_elk,,,
Canis lupus hodophilax,Japanese wolf,100,114,1905,1905 CE,Mammalia,Carnivora,Canidae,Japan,https://en.wikipedia.org/wiki/Japanese_wolf,,https://upload.wikimedia.org/wikipedia/commons/8/81/Fauna_Japonica_%281833%29_Canis_hodophylax.jpg,wide
Sorex ornatus juncensis,Tule shrew ,100,114,1905,1905 CE,Mammalia,Rodentia,Soricidae,Baja California,https://en.wikipedia.org/wiki/Tule_shrew,,,
Rattus macleari,Maclear's rat,100,116,1903,1903 CE,Mammalia,Rodentia,Muridae,Christmas Island,https://en.wikipedia.org/wiki/Maclear%27s_rat,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/MusMacleariSmit.jpg/360px-MusMacleariSmit.jpg,wide
Rattus nativitatis,Bulldog rat,100,116,1903,1903 CE,Mammalia,Rodentia,Muridae,Christmas Island,https://en.wikipedia.org/wiki/Bulldog_rat,,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Rattus_nativitatis.jpg/360px-Rattus_nativitatis.jpg,wide
Megalomys desmarestii,Antillean giant rice rat,100,117,1902,1902 CE,Mammalia,Rodentia,Cricetidae,Martinique,https://en.wikipedia.org/wiki/Megalomys_desmarestii,,https://upload.wikimedia.org/wikipedia/commons/9/96/Megalomys_desmarestii_Gervais.png,wide
Melanoplus spretus,Rocky Mountain locust,100,117,1902,1902 CE,Insecta,Orthoptera,Acrididae,North America,https://en.wikipedia.org/wiki/Rocky_Mountain_locust,https://www.iucnredlist.org/species/51269349/111451167,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Minnesota_locusts.jpg/158px-Minnesota_locusts.jpg,tall
Notomys longicaudatus,Long-tailed hopping mouse,100,118,1901,1901 CE,Mammalia,Rodentia,Muridae,Australia,https://en.wikipedia.org/wiki/Long-tailed_hopping_mouse,,,
Caracara lutosa,Guadalupe caracara ,100,119,1900,1900 CE,Aves,Falconiformes,Falconidae,"Mexico, Guadalupe",https://en.wikipedia.org/wiki/Guadalupe_caracara,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Caracara_cheriway_by_Audubon.jpg/75px-Caracara_cheriway_by_Audubon.jpg,tall
Isolobodon portoricensis,Puerto Rican hutia,100,119,1900,1900 CE,Mammalia,Rodentia,Capromyidae,"Hispaniola and introduced to Puerto Rico, Saint Thomas Island, Saint Croix Island and Mona Island",https://en.wikipedia.org/wiki/Puerto_Rican_hutia,,,
Microtus pennsylvanicus nesophilus,Gull Island vole ,100,122,1897,1897 CE,Mammalia,Rodentia,Cricetidae,New York - Gull Island,https://en.wikipedia.org/wiki/Gull_Island_vole,,,
